row_number,source,author,title,description,url,category,coverage
3,Wired,Makena Kelly,Influencers Get Their Final Marching Orders for the Election,The Trump and Harris campaigns have built huge networks of influencers and content creators. They have one last job—getting people out to vote.,https://www.wired.com/story/influencers-gop-and-democrats-ahead-of-election-day/,Technology and Media,Neutral
6,The Verge,Justine Calma,Apple News will let you watch election results from your lockscreen,"On Election Day in the US, Apple News is rolling out live results to lockscreens.",https://www.theverge.com/2024/11/5/24288777/election-results-apple-news-lock-screen,Technology and Media,Neutral
16,Business Insider,Hannah Abraham,Russia claims it doesn't care who wins the US election. Its state media tells another story.,"Kamala Harris' tendency to burst out laughing has been ridiculed on Russian state TV. Meanwhile, Donald Trump has been portrayed as confident.",https://www.businessinsider.com/russia-state-media-trump-harris-presidential-us-election-putin-kremlin-2024-10,Technology and Media,Negative
23,Wired,Angela Watercutter,Forget Screen Time. We Need to Talk About Screen Real Estate,Spending many hours daily looking at screens feels like a foregone conclusion. The new challenge is paring down what fills them.,https://www.wired.com/story/forget-screen-time-we-need-to-talk-about-screen-real-estate/,Technology and Media,Neutral
30,Business Insider,ldodgson@insider.com (Lindsay Dodgson),Trump's election victory put TikTok's astrology community into a meltdown,"Astrologers on TikTok, who foresaw a Harris victory, face backlash and trust issues after Trump's re-election challenged their predictions.",https://www.businessinsider.com/trump-victory-put-tiktoks-astrology-community-into-a-meltdown-2024-11,Technology and Media,Neutral
97,Business Insider,kcloonan@insider.com (Kelly Cloonan),Bitcoin ETFs see highest daily outflows ever as traders brace for Election Day volatility,Bitcoin ETFs saw record outflows ahead of the election as the market eyes the potential for uncertainty to spark volatility for the crypto.,https://markets.businessinsider.com/news/stocks/bitcoin-etfs-record-outflows-election-volatility-trump-harris-vote-btc-2024-11,Technology and Media,Neutral
101,Business Insider,fdemott@insider.com (Filip De Mott),Why JPMorgan says election gridlock will be the best-case scenario for stocks,"An election that results in a divided Congress will help reduce uncertainty and market volatility, JPMorgan says.",https://markets.businessinsider.com/news/stocks/us-election-stock-market-outlook-best-case-scenario-congress-gridlock-2024-11,Technology and Media,Neutral
107,ABC News,ABC News,"WATCH: Wrong-way driver came within feet of Harris' motorcade, officials say","A suspected drunken driver going the wrong way on the interstate came within feet of Vice President Kamala Harris' motorcade after a campaign stop this week in Wisconsin, a sheriff's official said.",https://abcnews.go.com/US/video/wrong-driver-feet-harris-motorcade-officials-115090435,Technology and Media,Neutral
114,Business Insider,fdemott@insider.com (Filip De Mott),Legendary investor Paul Tudor Jones says he's buying gold and bitcoin pre-election because inflation will rise under both Trump and Harris,"""The playbook to get out of this is that you inflate your way out,"" Jones said about America's ballooning national debt.",https://markets.businessinsider.com/news/commodities/paul-tudor-jones-gold-crypto-bitcoin-election-inflation-debt-crisis-2024-10,Technology and Media,Neutral
117,Business Insider,Grace Eliza Goodwin,US intel says Russian actors made the fake Georgia voter fraud video — and expects more to come,"Russian influence actors created a fake Georgia voter fraud video, a group of US intelligence officials said.",https://www.businessinsider.com/us-intel-russia-made-fake-georgia-voter-fraud-video-2024-11,Technology and Media,Neutral
142,Business Insider,"Melia Russell,Rebecca Torrence,Riddhi Kanetkar,Helen Li,Samantha Stokes,Leena Rao,Alistair Barr",Silicon Valley is officially grieving over Trump but quietly gleeful over a possible tech deal resurgence,"As Trump's win stirs uncertainty in Silicon Valley, tech investors weigh regulatory shifts, a changing M&A market, while pondering the future of antitrust policies under his administration.",https://www.businessinsider.com/silicon-valley-trump-return-startups-venture-capital-2024-11,Technology and Media,Neutral
